0-230|   0-231|   0-232|   0-233|   0-234|   0-235|   0-236|   0-237|   0-238|   0-239|   0-240|   0-241|   0-242|   0-243|   0-244|   0-245|   0-246|   0-247|   0-248|   0-249|   0-250|   0-251|   0-252|   0-253|   1-000|   1-001|   1-002|   1-003|   1-004|   1-005|   1-006|   1-007|   1-008|   1-009|   1-010|   1-011|   1-012|   1-013|   1-014|   1-015|   1-016|   1-017|   1-018|   1-019|   1-020|   1-021|   1-022|   1-023|   
597.348, 597.605, 596.451, 597.619, 597.606, 596.800, 596.004, 597.157, 598.193, 592.973, 595.540, 596.827, 597.086, 596.775, 596.118, 596.771, 595.514, 597.199, 594.948, 590.751, 597.147, 597.143, 596.214, 597.704, 597.499, 598.236, 592.613, 598.403, 596.808, 597.220, 598.100, 598.159, 596.678, 597.094, 598.576, 598.033, 592.826, 597.896, 597.698, 597.751, 597.984, 594.183, 598.514, 597.950, 597.628, 590.711, 597.433, 598.617, 
591.875, 583.620, 590.317, 595.059, 592.525, 585.002, 589.721, 594.405, 593.413, 582.555, 589.902, 593.839, 579.745, 582.138, 586.640, 593.551, 591.270, 584.480, 588.684, 592.509, 592.223, 582.133, 590.292, 595.176, 592.332, 595.394, 590.353, 585.649, 590.407, 592.344, 591.627, 581.617, 588.109, 591.979, 591.603, 581.993, 590.341, 593.089, 593.631, 584.563, 594.075, 593.474, 588.800, 583.438, 589.773, 588.198, 591.594, 587.121, 
564.247, 559.256, 564.841, 568.737, 568.032, 563.177, 561.989, 569.257, 566.955, 557.808, 559.450, 566.651, 560.667, 556.561, 561.330, 563.692, 562.811, 561.281, 559.786, 566.940, 562.666, 561.399, 563.930, 570.220, 566.930, 569.911, 563.187, 561.985, 562.582, 559.608, 563.422, 559.156, 556.784, 562.399, 561.849, 553.147, 559.043, 557.667, 564.499, 558.995, 567.916, 567.364, 561.288, 556.982, 558.776, 566.963, 552.508, 499.414, 
552.231, 548.528, 554.603, 556.411, 555.082, 551.643, 543.640, 556.434, 555.271, 548.107, 546.891, 548.573, 546.972, 544.364, 552.861, 549.115, 552.088, 547.856, 549.230, 555.600, 550.373, 549.109, 550.139, 557.031, 558.331, 556.543, 543.601, 550.453, 552.203, 553.752, 552.855, 549.581, 545.102, 550.645, 547.134, 538.692, 544.778, 550.509, 548.010, 544.067, 555.466, 556.582, 548.692, 547.677, 547.104, 554.655, 548.869, 547.504, 
546.983, 548.332, 549.749, 553.326, 549.617, 551.893, 544.423, 553.131, 555.401, 550.867, 545.859, 550.795, 542.484, 543.061, 557.507, 545.728, 552.500, 548.030, 549.224, 547.667, 546.452, 552.158, 538.778, 551.092, 561.349, 548.934, 550.527, 550.763, 553.177, 553.607, 556.437, 554.714, 544.811, 553.233, 545.506, 539.679, 543.413, 551.262, 542.259, 542.642, 555.360, 552.601, 543.610, 551.003, 546.949, 553.287, 547.536, 544.986, 
529.695, 538.256, 547.863, 543.260, 535.523, 542.429, 536.552, 541.977, 545.260, 543.959, 540.495, 540.883, 525.732, 531.636, 559.099, 531.817, 541.603, 528.538, 544.960, 542.474, 531.910, 543.710, 533.108, 538.734, 553.581, 540.331, 534.339, 537.794, 548.872, 541.558, 545.908, 545.339, 536.970, 541.821, 529.511, 526.186, 537.640, 541.945, 519.894, 523.532, 552.678, 548.336, 534.320, 542.340, 540.478, 539.659, 532.340, 531.279, 
501.580, 508.885, 516.942, 516.174, 509.466, 516.471, 503.544, 517.220, 523.129, 521.696, 506.874, 516.802, 497.383, 505.601, 526.671, 515.833, 517.865, 508.635, 515.491, 514.105, 506.525, 512.928, 498.665, 507.493, 531.853, 519.017, 506.047, 515.945, 512.314, 519.705, 521.842, 514.226, 499.584, 522.192, 501.427, 493.979, 501.890, 518.116, 496.968, 494.680, 518.713, 522.687, 506.452, 509.409, 506.695, 520.552, 507.228, 506.273, 
466.556, 479.288, 486.720, 486.918, 474.722, 488.764, 470.049, 486.417, 493.129, 496.620, 471.591, 486.092, 459.935, 475.136, 508.649, 485.338, 487.102, 478.119, 485.684, 483.228, 470.578, 487.646, 462.714, 474.933, 504.717, 487.208, 466.383, 487.758, 486.908, 490.339, 489.032, 488.540, 467.483, 494.174, 459.264, 458.639, 466.219, 486.723, 453.213, 459.859, 494.422, 493.061, 466.935, 482.639, 474.707, 491.495, 469.368, 473.417, 
440.081, 464.207, 473.386, 472.171, 453.606, 475.447, 454.083, 471.974, 478.908, 486.943, 457.336, 472.492, 437.703, 459.664, 502.391, 473.232, 472.043, 463.841, 474.523, 468.931, 448.825, 475.232, 445.542, 458.695, 495.923, 471.257, 441.858, 473.867, 475.259, 478.327, 475.223, 476.441, 453.079, 471.646, 435.010, 440.889, 452.134, 475.490, 425.585, 440.841, 483.853, 480.967, 446.002, 470.166, 462.484, 478.312, 449.328, 455.899, 
430.767, 446.557, 453.983, 450.550, 437.866, 457.895, 424.328, 451.774, 471.042, 472.586, 439.311, 454.173, 423.797, 435.593, 494.922, 451.563, 462.393, 441.580, 455.574, 452.157, 432.998, 463.319, 416.993, 439.117, 481.159, 437.474, 425.690, 439.410, 456.359, 453.921, 471.802, 460.623, 423.439, 451.619, 422.495, 407.679, 425.045, 453.936, 408.284, 410.250, 465.040, 462.047, 435.821, 454.990, 435.767, 443.988, 438.764, 422.804, 
390.937, 406.893, 417.911, 419.796, 393.945, 421.196, 383.420, 415.646, 436.864, 438.748, 398.561, 417.534, 380.738, 394.544, 455.117, 415.608, 418.587, 407.302, 417.076, 415.039, 381.640, 423.467, 373.761, 399.663, 447.899, 396.692, 381.930, 398.563, 419.125, 417.154, 435.000, 418.082, 381.264, 422.166, 366.722, 360.198, 376.673, 416.808, 363.990, 364.472, 430.355, 426.173, 394.277, 414.872, 395.724, 404.963, 394.544, 380.870, 
